(-0.5840057000, -0.6617327000, 0.4701315000)
(-0.5872750000, -0.6581856000, 0.4710458000)
(-0.5775422000, -0.6594794000, 0.4811521000)
(-0.5789484000, -0.6657658000, 0.4707024000)
(-0.5754359000, -0.6677458000, 0.4722091000)
(-0.5722537000, -0.6637923000, 0.4815421000)
(-0.5757530000, -0.6600488000, 0.4825327000)
(-0.5760374000, -0.6659427000, 0.4740107000)
(-0.5860493000, -0.6576949000, 0.4732603000)
(-0.5834680000, -0.6612760000, 0.4714488000)
(-0.5860099000, -0.6559669000, 0.4756948000)
(-0.5844848000, -0.6562296000, 0.4771892000)
(-0.5869676000, -0.6529579000, 0.4786424000)
(-0.5864132000, -0.6484262000, 0.4854472000)
(-0.5865598000, -0.6490093000, 0.4844765000)
(-0.5940638000, -0.6435995000, 0.4825343000)
(-0.5624741000, -0.6748506000, 0.4776926000)
(-0.5437582000, -0.6953601000, 0.4698893000)
(-0.5436246000, -0.6958863000, 0.4692601000)
(-0.5518970000, -0.6847539000, 0.4759310000)
(-0.5508153000, -0.6850318000, 0.4767853000)
(-0.5528111000, -0.6838573000, 0.4761347000)
(-0.5482560000, -0.6853876000, 0.4792036000)
(-0.5247902000, -0.7170950000, 0.4586373000)
(-0.5337061000, -0.7061274000, 0.4653210000)
(-0.5386969000, -0.7006743000, 0.4678084000)
(-0.5403371000, -0.6992214000, 0.4680756000)
(-0.5480691000, -0.6912247000, 0.4709638000)
(-0.5476837000, -0.6909940000, 0.4717618000)
(-0.5545498000, -0.6831408000, 0.4751724000)
(-0.5559452000, -0.6772457000, 0.4819049000)
(-0.5579148000, -0.6760907000, 0.4812544000)
(-0.5577389000, -0.6744568000, 0.4837359000)
(-0.5637774000, -0.6683666000, 0.4852019000)
(-0.5571039000, -0.6778906000, 0.4796623000)
(-0.5246887000, -0.7205899000, 0.4532354000)
(-0.5284403000, -0.7166291000, 0.4551724000)
(-0.5267059000, -0.7196283000, 0.4524167000)
(-0.5367101000, -0.7084303000, 0.4583134000)
(-0.5410230000, -0.7019230000, 0.4632201000)
(-0.5354355000, -0.7160453000, 0.4478414000)
(-0.5050343000, -0.7544593000, 0.4191631000)
(-0.5146340000, -0.7452715000, 0.4239052000)
(-0.5185347000, -0.7428291000, 0.4234419000)
(-0.5257896000, -0.7303821000, 0.4359732000)
(-0.5358340000, -0.7210802000, 0.4392100000)
(-0.5391006000, -0.7172277000, 0.4415090000)
