(-0.4039433000, -0.8052631000, 0.4339853000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.4957389000, -0.7750784000, 0.3917552000)
(-0.5302457000, -0.7536823000, 0.3882928000)
(-0.5438527000, -0.7315648000, 0.4111270000)
(-0.5382562000, -0.7164552000, 0.4438023000)
(-0.5649247000, -0.6913835000, 0.4503780000)
(-0.5561568000, -0.7050771000, 0.4399301000)
(-0.5690188000, -0.6975837000, 0.4353986000)
(-0.5777553000, -0.6864083000, 0.4416277000)
(-0.5838711000, -0.6793674000, 0.4444503000)
(-0.5895070000, -0.6802644000, 0.4355451000)
(-0.5867007000, -0.6820917000, 0.4364707000)
(-0.5792617000, -0.6920165000, 0.4307525000)
(-0.5788655000, -0.6930665000, 0.4295979000)
(-0.5803463000, -0.6918036000, 0.4296302000)
(-0.5785805000, -0.6919546000, 0.4317808000)
(-0.5799894000, -0.6878537000, 0.4364129000)
(-0.5809901000, -0.6832922000, 0.4421938000)
(-0.5740345000, -0.6870797000, 0.4454113000)
(-0.5818368000, -0.6760172000, 0.4521762000)
(-0.5775658000, -0.6777204000, 0.4550669000)
(-0.5786569000, -0.6776754000, 0.4537645000)
(-0.5924749000, -0.6829864000, 0.4271710000)
(-0.5686257000, -0.7262782000, 0.3862127000)
(-0.5693210000, -0.7446124000, 0.3484346000)
(-0.5579199000, -0.7442023000, 0.3672266000)
(-0.5563947000, -0.7426713000, 0.3726376000)
(-0.5579090000, -0.7375857000, 0.3803949000)
(-0.5515674000, -0.7382374000, 0.3882972000)
(-0.5401356000, -0.7434282000, 0.3944013000)
(-0.5477341000, -0.7407111000, 0.3889795000)
(-0.5434701000, -0.7442197000, 0.3882811000)
(-0.5474374000, -0.7421347000, 0.3866867000)
(-0.5419269000, -0.7462087000, 0.3866224000)
(-0.5350217000, -0.7484719000, 0.3918231000)
(-0.5361398000, -0.7457174000, 0.3955296000)
(-0.5397045000, -0.7381880000, 0.4046938000)
(-0.5338200000, -0.7380304000, 0.4127099000)
(-0.5301449000, -0.7414967000, 0.4112454000)
(-0.5478305000, -0.7301331000, 0.4083884000)
(-0.5693871000, -0.7246621000, 0.3881421000)
(-0.6042001000, -0.7113726000, 0.3590024000)
(-0.6190101000, -0.6959016000, 0.3640490000)
(-0.6120208000, -0.6985003000, 0.3708066000)
(-0.6194511000, -0.6935269000, 0.3678192000)
(-0.6203454000, -0.6889060000, 0.3749278000)
(-0.6097032000, -0.6979848000, 0.3755893000)
(-0.6127307000, -0.6963867000, 0.3735988000)
(-0.6092638000, -0.6962245000, 0.3795424000)
(-0.5936891000, -0.7040502000, 0.3896347000)
(-0.5949420000, -0.7072563000, 0.3818683000)
(-0.6005876000, -0.6999075000, 0.3865296000)
