(-0.6642883000, -0.5412865000, 0.5154753000)
(-0.6641820000, -0.5361300000, 0.5209597000)
(-0.6669641000, -0.5316810000, 0.5219725000)
(-0.6669949000, -0.5312937000, 0.5223317000)
(-0.6665992000, -0.5311525000, 0.5229682000)
(-0.6660227000, -0.5321454000, 0.5227125000)
(-0.6660377000, -0.5311220000, 0.5237170000)
(-0.6662880000, -0.5303336000, 0.5242124000)
(-0.6603636000, -0.5392931000, 0.5225528000)
(-0.6597654000, -0.5383449000, 0.5242755000)
(-0.6595294000, -0.5380832000, 0.5248508000)
(-0.6597884000, -0.5375443000, 0.5250907000)
(-0.6597385000, -0.5369963000, 0.5256893000)
(-0.6594944000, -0.5379577000, 0.5250276000)
(-0.6586602000, -0.5427571000, 0.5211150000)
(-0.6610449000, -0.5447938000, 0.5159388000)
(-0.6613213000, -0.5454230000, 0.5149378000)
(-0.6608181000, -0.5463161000, 0.5146341000)
(-0.6607255000, -0.5469500000, 0.5140650000)
(-0.6608181000, -0.5465353000, 0.5143960000)
(-0.6622907000, -0.5447947000, 0.5143580000)
(-0.6606031000, -0.5456307000, 0.5156310000)
(-0.6622607000, -0.5439288000, 0.5153020000)
(-0.6631231000, -0.5432608000, 0.5149056000)
(-0.6624752000, -0.5414262000, 0.5176468000)
(-0.6607928000, -0.5422314000, 0.5189701000)
(-0.6627936000, -0.5403859000, 0.5183322000)
(-0.6619529000, -0.5402630000, 0.5195506000)
(-0.6588864000, -0.5439766000, 0.5195708000)
(-0.6591312000, -0.5444872000, 0.5187147000)
(-0.6606132000, -0.5446410000, 0.5166728000)
(-0.6597390000, -0.5450411000, 0.5173680000)
(-0.6617696000, -0.5426419000, 0.5172902000)
(-0.6592837000, -0.5426484000, 0.5204542000)
(-0.6592155000, -0.5424406000, 0.5207592000)
(-0.6591570000, -0.5420953000, 0.5211766000)
(-0.6592458000, -0.5412475000, 0.5219473000)
(-0.6540663000, -0.5420746000, 0.5275741000)
(-0.6258505000, -0.5646889000, 0.5379747000)
(-0.6241063000, -0.5896124000, 0.5126730000)
(-0.6306696000, -0.5774676000, 0.5184366000)
(-0.6218920000, -0.5854630000, 0.5200629000)
(-0.6275698000, -0.5813969000, 0.5178043000)
(-0.6240948000, -0.5830879000, 0.5200882000)
(-0.6362002000, -0.5518626000, 0.5391345000)
(-0.6371713000, -0.5487825000, 0.5411544000)
(-0.6413588000, -0.5579721000, 0.5266046000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
