(-0.5758648000, 0.2203271000, 0.7872801000)
(-0.5675957000, 0.2268688000, 0.7914169000)
(-0.5614138000, 0.2297862000, 0.7949842000)
(-0.5572062000, 0.2205695000, 0.8005283000)
(-0.5546851000, 0.2311967000, 0.7992802000)
(-0.5510311000, 0.2316988000, 0.8016581000)
(-0.5543470000, 0.2315642000, 0.7994189000)
(-0.5536068000, 0.2292143000, 0.8005956000)
(-0.5532930000, 0.2284352000, 0.8010418000)
(-0.5529485000, 0.2301982000, 0.8007692000)
(-0.5534909000, 0.2280463000, 0.8010072000)
(-0.5544255000, 0.2255055000, 0.8010806000)
(-0.5564883000, 0.2272181000, 0.7991712000)
(-0.5554788000, 0.2238462000, 0.8008240000)
(-0.5601770000, 0.2239937000, 0.7974964000)
(-0.5522087000, 0.2203030000, 0.8040625000)
(-0.5582470000, 0.2224951000, 0.7992817000)
(-0.5569572000, 0.2234144000, 0.7999141000)
(-0.5605824000, 0.2204327000, 0.7982054000)
(-0.5537196000, 0.2301401000, 0.8002642000)
(-0.5541371000, 0.2219201000, 0.8022864000)
(-0.5560272000, 0.2291840000, 0.7989225000)
(-0.5554814000, 0.2280519000, 0.7996315000)
(-0.5576331000, 0.2244741000, 0.7991483000)
(-0.5579234000, 0.2231968000, 0.7992969000)
(-0.5575321000, 0.2253733000, 0.7989575000)
(-0.5571055000, 0.2260142000, 0.7990910000)
(-0.5587612000, 0.2252354000, 0.7981533000)
(-0.5609638000, 0.2247073000, 0.7967533000)
(-0.5623247000, 0.2176572000, 0.7977405000)
(-0.5608841000, 0.2235990000, 0.7971168000)
(-0.5613787000, 0.2186780000, 0.7981237000)
(-0.5619565000, 0.2183271000, 0.7978159000)
(-0.5581808000, 0.2192886000, 0.8002002000)
(-0.5630138000, 0.2217522000, 0.7961386000)
(-0.5619261000, 0.2186341000, 0.7977569000)
(-0.5623798000, 0.2175347000, 0.7977347000)
(-0.5630772000, 0.2180993000, 0.7970927000)
(-0.5677967000, 0.2156051000, 0.7944299000)
(-0.5710493000, 0.2137482000, 0.7925926000)
(-0.5714725000, 0.2112244000, 0.7929669000)
(-0.5705274000, 0.2114694000, 0.7935720000)
(-0.5698252000, 0.2119641000, 0.7939550000)
(-0.5696406000, 0.2107315000, 0.7943988000)
(-0.5726542000, 0.2096404000, 0.7925305000)
(-0.5717647000, 0.2137030000, 0.7920907000)
(-0.5727259000, 0.2103856000, 0.7922711000)
(-0.5795610000, 0.2128187000, 0.7866298000)
(-0.5750846000, 0.2082022000, 0.7911510000)
(-0.5803564000, 0.2114129000, 0.7864237000)
(-0.5877449000, 0.2142735000, 0.7801397000)
(-0.5880952000, 0.2097731000, 0.7810988000)
(-0.5897220000, 0.2091561000, 0.7800510000)
(-0.5918024000, 0.2096871000, 0.7783116000)
(-0.5905463000, 0.2064090000, 0.7801584000)
(-0.5949899000, 0.2087674000, 0.7761262000)
(-0.5952821000, 0.2057285000, 0.7767330000)
(-0.5915868000, 0.2036344000, 0.7800920000)
(-0.5723771000, 0.2056945000, 0.7937692000)
(-0.5305297000, 0.2266696000, 0.8167857000)
(-0.5265921000, 0.2351134000, 0.8169509000)
(-0.5316528000, 0.2322051000, 0.8145004000)
(-0.5285658000, 0.2280418000, 0.8176840000)
(-0.5326512000, 0.2297894000, 0.8145329000)
(-0.5345056000, 0.2301415000, 0.8132237000)
(-0.5401971000, 0.2274363000, 0.8102053000)
(-0.5385693000, 0.2263482000, 0.8116003000)
(-0.5392577000, 0.2269906000, 0.8109676000)
(-0.5475394000, 0.2260451000, 0.8056569000)
(-0.5480891000, 0.2243538000, 0.8057649000)
(-0.5504476000, 0.2240664000, 0.8042234000)
(-0.5481203000, 0.2309371000, 0.8038793000)
(-0.5477441000, 0.2268791000, 0.8052832000)
(-0.5525641000, 0.2281765000, 0.8016185000)
(-0.5602576000, 0.2215978000, 0.7981090000)
(-0.5585359000, 0.2181206000, 0.8002846000)
(-0.5663864000, 0.2206605000, 0.7940367000)
(-0.5630113000, 0.2208246000, 0.7963869000)
(-0.5605723000, 0.2218786000, 0.7978246000)
(-0.5657338000, 0.2181339000, 0.7952046000)
(-0.5721056000, 0.2190582000, 0.7903836000)
(-0.5748044000, 0.2169165000, 0.7890045000)
(-0.5745127000, 0.2127314000, 0.7903614000)
(-0.5724958000, 0.2164748000, 0.7907995000)
(-0.5735709000, 0.2178247000, 0.7896540000)
(-0.5763495000, 0.2141822000, 0.7886193000)
(-0.5809356000, 0.2219112000, 0.7830977000)
(-0.5824838000, 0.2160224000, 0.7835970000)
(-0.5831746000, 0.2147157000, 0.7834548000)
(-0.5868193000, 0.2168278000, 0.7801298000)
(-0.5884116000, 0.2168934000, 0.7789174000)
(-0.5890248000, 0.2147553000, 0.7790486000)
(-0.5884875000, 0.2144175000, 0.7795517000)
(-0.5882252000, 0.2142966000, 0.7797657000)
(-0.5880101000, 0.2141447000, 0.7799780000)
(-0.5934471000, 0.2124832000, 0.7763152000)
(-0.5985588000, 0.2072998000, 0.7737757000)
(-0.6016035000, 0.2055975000, 0.7718669000)
(-0.5977730000, 0.2144669000, 0.7724240000)
(-0.5819395000, 0.2139610000, 0.7845778000)
(-0.5617384000, 0.2253709000, 0.7960204000)
(-0.5459492000, 0.2256554000, 0.8068530000)
(-0.5546347000, 0.2238329000, 0.8014126000)
(-0.5493404000, 0.2230494000, 0.8052579000)
(-0.5525044000, 0.2235845000, 0.8029552000)
(-0.5537767000, 0.2235525000, 0.8020919000)
(-0.5541241000, 0.2241094000, 0.8016962000)
(-0.5538473000, 0.2225466000, 0.8023227000)
(-0.5535071000, 0.2216648000, 0.8027995000)
(-0.5527854000, 0.2239513000, 0.8026540000)
(-0.5535352000, 0.2313397000, 0.8000411000)
(-0.5545158000, 0.2192477000, 0.8027526000)
(-0.5610273000, 0.2136956000, 0.7997290000)
(-0.5583405000, 0.2193110000, 0.8000918000)
(-0.5651589000, 0.2167203000, 0.7959906000)
(-0.5649000000, 0.2144845000, 0.7967933000)
(-0.5614128000, 0.2186730000, 0.7981151000)
(-0.5632942000, 0.2180581000, 0.7969556000)
(-0.5628285000, 0.2164933000, 0.7977033000)
(-0.5664186000, 0.2172609000, 0.7949510000)
(-0.5662742000, 0.2170447000, 0.7951069000)
(-0.5660145000, 0.2168703000, 0.7953530000)
(-0.5672344000, 0.2162127000, 0.7946552000)
(-0.5677965000, 0.2158128000, 0.7943634000)
(-0.5682481000, 0.2157823000, 0.7940573000)
(-0.5681425000, 0.2156097000, 0.7941759000)
(-0.5681058000, 0.2152411000, 0.7942915000)
(-0.5681674000, 0.2149076000, 0.7943512000)
(-0.5679113000, 0.2143138000, 0.7946883000)
(-0.5682462000, 0.2142230000, 0.7944810000)
(-0.5718495000, 0.2134868000, 0.7920846000)
(-0.5739402000, 0.2111479000, 0.7912044000)
(-0.5739773000, 0.2112325000, 0.7911494000)
(-0.5743727000, 0.2107469000, 0.7909890000)
(-0.5765588000, 0.2111689000, 0.7892896000)
(-0.5789119000, 0.2098852000, 0.7878985000)
(-0.5810035000, 0.2094094000, 0.7864969000)
(-0.5645533000, 0.2153567000, 0.7967892000)
