(-0.5916265000, 0.0658860700, 0.8035043000)
(-0.5923330000, 0.0658020500, 0.8029888000)
(-0.5923885000, 0.0628292900, 0.8031974000)
(-0.5936886000, 0.0678441900, 0.8018103000)
(-0.5986854000, 0.0686990500, 0.7980198000)
(-0.5922654000, 0.0680417800, 0.8028587000)
(-0.5890405000, 0.0674379900, 0.8052673000)
(-0.5898371000, 0.0672390800, 0.8047072000)
(-0.5912443000, 0.0669130200, 0.8037071000)
(-0.5903977000, 0.0675690300, 0.8042670000)
(-0.5912565000, 0.0670810000, 0.8036850000)
(-0.5903022000, 0.0682294100, 0.8042761000)
(-0.5962785000, 0.0682510300, 0.7998670000)
(-0.5941836000, 0.0622261100, 0.8019099000)
(-0.5902210000, 0.0633143600, 0.8047493000)
(-0.5961729000, 0.0625877800, 0.8003930000)
(-0.5902419000, 0.0679597900, 0.8043478000)
(-0.5869937000, 0.0630675300, 0.8071129000)
(-0.5915238000, 0.0689220800, 0.8033229000)
(-0.5896338000, 0.0650654000, 0.8050400000)
(-0.5905698000, 0.0666972300, 0.8042148000)
(-0.5904792000, 0.0776924000, 0.8032859000)
(-0.5916455000, 0.0818007700, 0.8020198000)
(-0.5888388000, 0.0817870600, 0.8041000000)
(-0.5954067000, 0.0812211800, 0.7993049000)
(-0.5977921000, 0.0885572500, 0.7967370000)
(-0.5921061000, 0.0962067500, 0.8000836000)
(-0.5914348000, 0.0946931900, 0.8007631000)
(-0.5915382000, 0.1014322000, 0.7998600000)
(-0.5616044000, 0.0939745000, 0.8220344000)
(-0.5340088000, 0.0785812200, 0.8418134000)
(-0.5321662000, 0.0771838000, 0.8430967000)
(-0.5317927000, 0.0778895400, 0.8432794000)
(-0.5334238000, 0.0790415500, 0.8421304000)
(-0.5364509000, 0.0854971600, 0.8395817000)
(-0.5337927000, 0.0929984200, 0.8404803000)
(-0.5321813000, 0.0966920500, 0.8410754000)
(-0.5330110000, 0.0987901900, 0.8403046000)
(-0.5311137000, 0.0998212000, 0.8413931000)
(-0.5332549000, 0.1040919000, 0.8395159000)
(-0.5277808000, 0.1107742000, 0.8421116000)
(-0.5284571000, 0.1057078000, 0.8423457000)
(-0.5324198000, 0.1192140000, 0.8380346000)
(-0.5303531000, 0.1220203000, 0.8389484000)
(-0.5283179000, 0.1224153000, 0.8401718000)
(-0.5344828000, 0.1275545000, 0.8354965000)
(-0.5303736000, 0.1280768000, 0.8380156000)
(-0.5326107000, 0.1274793000, 0.8366864000)
(-0.5348200000, 0.1378950000, 0.8336252000)
