(0.1369476000, -0.0343322800, 0.9899750000)
(0.0510101300, -0.0367279100, 0.9980164000)
(0.0887908900, -0.0728759800, 0.9933777000)
(0.1016235000, 0.1580505000, 0.9821777000)
(0.0373535200, 0.0267944300, 0.9989319000)
(0.0180664100, -0.1025848000, 0.9945526000)
(-0.0019531250, -0.1121216000, 0.9936829000)
(0.0128173800, -0.0946502700, 0.9954224000)
(-0.0269928000, -0.1001892000, 0.9945984000)
(0.0108795200, -0.1067200000, 0.9942169000)
(0.0004730225, -0.0829772900, 0.9965363000)
(-0.0066070560, -0.0867919900, 0.9962006000)
(-0.0167236300, -0.0581207300, 0.9981537000)
(-0.0200805700, -0.0751342800, 0.9969635000)
(-0.0126495400, -0.2572327000, 0.9662628000)
(0.0091705320, -0.0957489000, 0.9953613000)
(-0.0035095210, -0.0898132300, 0.9959412000)
(0.0016021730, -0.0927887000, 0.9956818000)
(-0.0244445800, -0.1050568000, 0.9941559000)
(0.0117340100, -0.1408539000, 0.9899597000)
(-0.0270385700, -0.2081604000, 0.9777069000)
(-0.0281829800, -0.2060394000, 0.9781342000)
(-0.0243225100, -0.2070618000, 0.9780121000)
(-0.0284576400, -0.2126007000, 0.9767151000)
(0.0255889900, -0.2205048000, 0.9750366000)
(0.0428466800, -0.1953278000, 0.9797974000)
(0.0490112300, -0.1882324000, 0.9808960000)
(-0.0274353000, 0.0745086700, 0.9968414000)
(-0.0305938700, 0.0779724100, 0.9964752000)
(-0.0223236100, 0.0513458300, 0.9984283000)
(-0.0264282200, 0.0552215600, 0.9981232000)
(-0.0142364500, 0.0401611300, 0.9990845000)
(-0.0217742900, 0.0872802700, 0.9959412000)
(-0.0211792000, 0.0873260500, 0.9959412000)
(-0.0129241900, 0.0182189900, 0.9997406000)
(-0.0174255400, 0.0880584700, 0.9959564000)
(-0.0202179000, 0.0799102800, 0.9965820000)
(-0.0003204346, 0.0439300500, 0.9990234000)
(0.0006561279, 0.0509338400, 0.9986877000)
(0.0589447000, -0.0974884000, 0.9934845000)
(0.0079345700, -0.1071625000, 0.9942017000)
(-0.0063476560, -0.0889892600, 0.9960022000)
(-0.0082702640, -0.1053009000, 0.9944000000)
(-0.0051574710, -0.1101379000, 0.9938965000)
(0.0010681150, -0.1166840000, 0.9931641000)
(0.0059661870, -0.1250610000, 0.9921265000)
(0.0121612500, -0.1230316000, 0.9923248000)
