(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.0680835200, -0.7754830000, 0.6276638000)
(-0.0792789100, -0.7419648000, 0.6657301000)
(-0.0833593900, -0.7474695000, 0.6590272000)
(-0.0784832900, -0.7393564000, 0.6687128000)
(-0.0740326800, -0.7347168000, 0.6743066000)
(-0.0710274900, -0.7319799000, 0.6775990000)
(-0.0718411100, -0.7373735000, 0.6716381000)
(-0.0687051600, -0.7333224000, 0.6763839000)
(-0.0690176500, -0.7311400000, 0.6787213000)
(-0.0630865800, -0.7344437000, 0.6757272000)
(-0.0704142300, -0.7355188000, 0.6738160000)
(-0.0718660500, -0.7320476000, 0.6774334000)
(-0.0738464400, -0.7327116000, 0.6765067000)
(-0.0732033800, -0.7039811000, 0.7064157000)
(-0.0575559500, -0.6215208000, 0.7812686000)
(-0.0515806300, -0.5925978000, 0.8038356000)
(-0.0551616700, -0.5173297000, 0.8539971000)
(-0.0577410600, -0.5318240000, 0.8448708000)
(-0.0560480500, -0.5137672000, 0.8560818000)
(-0.0591578600, -0.5147213000, 0.8553073000)
(-0.0449263500, -0.5239205000, 0.8505669000)
(-0.0443891100, -0.5159649000, 0.8554489000)
(-0.0442565500, -0.5143474000, 0.8564225000)
(-0.0461150800, -0.5071375000, 0.8606144000)
(-0.0533123000, -0.5046238000, 0.8616825000)
(-0.0509361800, -0.5042737000, 0.8620239000)
(-0.0534299600, -0.4978336000, 0.8656213000)
(-0.0518288900, -0.4977992000, 0.8657409000)
(-0.0521269000, -0.4988782000, 0.8650964000)
(-0.0582491100, -0.5006354000, 0.8636866000)
(-0.0516135200, -0.4918249000, 0.8691533000)
(-0.0516323400, -0.4905602000, 0.8698702000)
(-0.0467988300, -0.4873124000, 0.8719564000)
(-0.0464063200, -0.4862848000, 0.8725510000)
