(-0.1415558000, 0.3881458000, 0.9106485000)
(-0.1429555000, 0.3874110000, 0.9107495000)
(-0.1473793000, 0.3916251000, 0.9082416000)
(-0.1475618000, 0.3820269000, 0.9122812000)
(-0.1407773000, 0.3761973000, 0.9157785000)
(-0.1422327000, 0.3684791000, 0.9186772000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.1636631000, 0.2696036000, 0.9489476000)
(-0.1703762000, 0.3140672000, 0.9339807000)
(-0.1964866000, 0.3700734000, 0.9079850000)
(-0.2003448000, 0.3685902000, 0.9077359000)
(-0.2006412000, 0.3681536000, 0.9078507000)
(-0.1974775000, 0.3735982000, 0.9063166000)
(-0.1946473000, 0.3610616000, 0.9119964000)
(-0.1952245000, 0.3650321000, 0.9102894000)
(-0.1929963000, 0.3714632000, 0.9081524000)
(-0.1968231000, 0.3868911000, 0.9008647000)
(-0.2030231000, 0.3896289000, 0.8983083000)
(-0.2074904000, 0.3932385000, 0.8957032000)
(-0.2058476000, 0.4023730000, 0.8920314000)
(-0.2040078000, 0.4044974000, 0.8914900000)
(-0.2031744000, 0.4090066000, 0.8896188000)
(-0.1989214000, 0.4030440000, 0.8932871000)
(-0.2026066000, 0.4056302000, 0.8912905000)
(-0.2030468000, 0.4121407000, 0.8881902000)
(-0.1970021000, 0.4153889000, 0.8880444000)
(-0.2045163000, 0.4247172000, 0.8819184000)
(-0.2093232000, 0.4292925000, 0.8785701000)
(-0.2055770000, 0.4301039000, 0.8790464000)
(-0.2043985000, 0.4224645000, 0.8830215000)
(-0.2013781000, 0.4258543000, 0.8820917000)
(-0.2067075000, 0.4362642000, 0.8757419000)
(-0.2056026000, 0.4320450000, 0.8781019000)
(-0.2059819000, 0.4469579000, 0.8705168000)
(-0.1991757000, 0.4536067000, 0.8686496000)
(-0.2001274000, 0.4627908000, 0.8635740000)
(-0.1988485000, 0.4639333000, 0.8632498000)
(-0.2000810000, 0.4652500000, 0.8622618000)
(-0.2008846000, 0.4677012000, 0.8607523000)
(-0.2067911000, 0.4651092000, 0.8607450000)
(-0.2074526000, 0.4680164000, 0.8590137000)
(-0.2055721000, 0.4824115000, 0.8514633000)
(-0.2021187000, 0.4810924000, 0.8530451000)
(-0.2115953000, 0.4860676000, 0.8479171000)
(-0.2049848000, 0.4837667000, 0.8508493000)
(-0.1984200000, 0.4832200000, 0.8527103000)
(-0.1980938000, 0.5006694000, 0.8426493000)
