(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.0781327100, -0.6227997000, -0.7784557000)
(-0.0808116900, -0.6339518000, -0.7691342000)
(-0.0794724300, -0.6317813000, -0.7710552000)
(-0.0802688400, -0.6267590000, -0.7750599000)
(-0.0769371600, -0.6248936000, -0.7768953000)
(-0.0780935400, -0.6233971000, -0.7779845000)
(-0.0660154400, -0.6240571000, -0.7785704000)
(-0.0707246800, -0.6226922000, -0.7792478000)
(-0.0699732700, -0.6217439000, -0.7800708000)
(-0.0693521400, -0.6213853000, -0.7804207000)
(-0.0636511000, -0.6203150000, -0.7817607000)
(-0.0563493200, -0.6208663000, -0.7818791000)
(-0.0500389400, -0.6230862000, -0.7805505000)
(-0.0496424800, -0.6237540000, -0.7800414000)
(-0.0502135400, -0.6232053000, -0.7804378000)
(-0.0535240300, -0.6213471000, -0.7816886000)
(-0.0583708100, -0.6205003000, -0.7820212000)
(-0.0640261500, -0.6176795000, -0.7838103000)
(-0.0656208500, -0.6203569000, -0.7815661000)
(-0.0652803900, -0.6199009000, -0.7819411000)
(-0.0652146500, -0.6204294000, -0.7815340000)
(-0.0646605600, -0.6187270000, -0.7829208000)
(-0.0641923500, -0.6203684000, -0.7816731000)
(-0.0632558900, -0.6215977000, -0.7807748000)
(-0.0605228500, -0.6222845000, -0.7804325000)
(-0.0590354100, -0.6248958000, -0.7784662000)
(-0.0584981600, -0.6253812000, -0.7781214000)
(-0.0581660700, -0.6278058000, -0.7761921000)
(-0.0571859100, -0.6301122000, -0.7743845000)
(-0.0568626000, -0.6315972000, -0.7731879000)
(-0.0560625300, -0.6316608000, -0.7731964000)
(-0.0559144600, -0.6323723000, -0.7726341000)
(-0.0552472900, -0.6332844000, -0.7719366000)
(-0.0509425700, -0.6318569000, -0.7734022000)
(-0.0468950500, -0.6318588000, -0.7736434000)
