(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.0445543100, -0.6843212000, -0.7277994000)
(-0.0600931800, -0.6773023000, -0.7332379000)
(-0.0213430900, -0.6885999000, -0.7248148000)
(-0.0653636600, -0.6817635000, -0.7286355000)
(0.0180262800, -0.6252071000, -0.7802476000)
(0.0053258970, -0.3919040000, -0.9199901000)
(-0.0038338210, -0.3924477000, -0.9197657000)
(-0.0011700010, -0.3902723000, -0.9206954000)
(-0.0052769950, -0.3865168000, -0.9222574000)
(-0.0039435880, -0.3834139000, -0.9235578000)
(-0.0021761960, -0.3904206000, -0.9206308000)
(-0.0072192160, -0.3888483000, -0.9212705000)
(0.0182944100, -0.3665366000, -0.9302154000)
(0.0175081200, -0.3672449000, -0.9299570000)
(-0.0099653660, -0.3816363000, -0.9242524000)
(-0.0082450440, -0.3809919000, -0.9245343000)
(-0.0062031550, -0.3814856000, -0.9243412000)
(0.0047909400, -0.3791216000, -0.9253215000)
(-0.0050231000, -0.3908884000, -0.9204229000)
(-0.0050799930, -0.3877983000, -0.9217170000)
(0.0007963069, -0.3853274000, -0.9227786000)
(0.0085569250, -0.3471634000, -0.9377573000)
(0.0117388300, -0.3550691000, -0.9347516000)
(0.0185591100, -0.3568966000, -0.9339479000)
(0.0183356600, -0.3507765000, -0.9362721000)
(0.0171831500, -0.3540046000, -0.9350743000)
(0.0160867100, -0.3550246000, -0.9347114000)
(0.0186009500, -0.3522208000, -0.9357289000)
(0.0284347700, -0.3366612000, -0.9411918000)
(0.0267978000, -0.3380148000, -0.9407529000)
(0.0197698500, -0.3456452000, -0.9381520000)
(0.0165755200, -0.3490103000, -0.9369618000)
(0.0189977100, -0.3509355000, -0.9361959000)
(0.0154520100, -0.3503434000, -0.9364821000)
(0.0339624700, -0.3338682000, -0.9420049000)
(0.0394530000, -0.3339647000, -0.9417486000)
(0.0388064800, -0.3363499000, -0.9409302000)
(0.0380604700, -0.3376441000, -0.9404895000)
(0.0305649200, -0.3404852000, -0.9397444000)
