(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.0877309200, -0.6838608000, -0.7242999000)
(-0.1033650000, -0.6767021000, -0.7289563000)
(-0.0643973400, -0.6883532000, -0.7224988000)
(-0.1083861000, -0.6811185000, -0.7240950000)
(-0.0272286500, -0.6253234000, -0.7798876000)
(-0.0447325100, -0.3919113000, -0.9189143000)
(-0.0541262900, -0.3923695000, -0.9182131000)
(-0.0511398100, -0.3902179000, -0.9192979000)
(-0.0551281200, -0.3864290000, -0.9206602000)
(-0.0538047700, -0.3833330000, -0.9220312000)
(-0.0520385100, -0.3903585000, -0.9191878000)
(-0.0568749200, -0.3887420000, -0.9195865000)
(-0.0318436600, -0.3666599000, -0.9298016000)
(-0.0325351600, -0.3673634000, -0.9295058000)
(-0.0596597900, -0.3815052000, -0.9224330000)
(-0.0582368300, -0.3808784000, -0.9227819000)
(-0.0558164300, -0.3813878000, -0.9227157000)
(-0.0447967100, -0.3791260000, -0.9242471000)
(-0.0546631900, -0.3908025000, -0.9188485000)
(-0.0548490500, -0.3877092000, -0.9201352000)
(-0.0493206900, -0.3852900000, -0.9214756000)
(-0.0415710500, -0.3471987000, -0.9368614000)
(-0.0385315400, -0.3551314000, -0.9340072000)
(-0.0319322000, -0.3570257000, -0.9335369000)
(-0.0319868300, -0.3509027000, -0.9358578000)
(-0.0334141600, -0.3541150000, -0.9345932000)
(-0.0342166600, -0.3551281000, -0.9341841000)
(-0.0316980300, -0.3523481000, -0.9353288000)
(-0.0221057700, -0.3368737000, -0.9412857000)
(-0.0239601600, -0.3382143000, -0.9407578000)
(-0.0306810600, -0.3457814000, -0.9378083000)
(-0.0338723800, -0.3491193000, -0.9364554000)
(-0.0316832400, -0.3510661000, -0.9358034000)
(-0.0349260600, -0.3504422000, -0.9359211000)
(-0.0167979600, -0.3341324000, -0.9423736000)
(-0.0113152200, -0.3342803000, -0.9423949000)
(-0.0118628500, -0.3366583000, -0.9415451000)
(-0.0123862000, -0.3379448000, -0.9410699000)
