(-0.5006043000, 0.5947202000, 0.6290444000)
(-0.5135121000, 0.5927920000, 0.6203887000)
(-0.5110070000, 0.5963186000, 0.6190799000)
(-0.4610440000, 0.5580968000, 0.6898963000)
(-0.3963078000, 0.5366766000, 0.7449167000)
(-0.3914575000, 0.5445484000, 0.7417629000)
(-0.3929867000, 0.5352164000, 0.7477140000)
(-0.4010354000, 0.5320917000, 0.7456728000)
(-0.3966371000, 0.5280730000, 0.7508694000)
(-0.4103549000, 0.5280637000, 0.7434679000)
(-0.4035308000, 0.5330600000, 0.7436320000)
(-0.3938495000, 0.5446068000, 0.7404441000)
(-0.4031464000, 0.5353779000, 0.7421685000)
(-0.3977074000, 0.5366273000, 0.7442136000)
(-0.3988041000, 0.5373860000, 0.7430674000)
(-0.4018913000, 0.5395454000, 0.7398319000)
(-0.4042370000, 0.5375971000, 0.7399843000)
(-0.4043687000, 0.5455920000, 0.7340234000)
(-0.4064383000, 0.5455740000, 0.7329029000)
(-0.4020607000, 0.5572003000, 0.7265393000)
(-0.4028821000, 0.5582674000, 0.7252653000)
(-0.4008732000, 0.5630968000, 0.7226445000)
(-0.4315423000, 0.5355788000, 0.7258888000)
(-0.4369035000, 0.4453633000, 0.7815009000)
(-0.4427940000, 0.4426510000, 0.7797210000)
(-0.4428195000, 0.4639130000, 0.7672594000)
(-0.4548627000, 0.4678690000, 0.7577403000)
(-0.4573089000, 0.4635675000, 0.7589239000)
(-0.4437314000, 0.5067304000, 0.7391360000)
(-0.4381897000, 0.5103939000, 0.7399153000)
(-0.4214872000, 0.4485636000, 0.7881178000)
(-0.3577721000, 0.3854563000, 0.8505269000)
(-0.4197313000, 0.4261276000, 0.8013916000)
(-0.4099591000, 0.4281093000, 0.8053829000)
(-0.4180339000, 0.4344028000, 0.7978188000)
(-0.4270532000, 0.4625819000, 0.7769412000)
(-0.4262387000, 0.4675553000, 0.7744019000)
(-0.4241478000, 0.4725146000, 0.7725372000)
(-0.4305505000, 0.4837619000, 0.7619556000)
(-0.4349764000, 0.4849173000, 0.7586940000)
(-0.4271260000, 0.4887464000, 0.7607123000)
(-0.4060083000, 0.3655436000, 0.8375736000)
(-0.4116526000, 0.3432291000, 0.8442324000)
(-0.4080087000, 0.3723505000, 0.8335900000)
(-0.4115201000, 0.3797571000, 0.8285006000)
(-0.4090585000, 0.3901502000, 0.8248767000)
(-0.4143538000, 0.3778733000, 0.8279498000)
(-0.4163391000, 0.4110596000, 0.8109694000)
(-0.4193412000, 0.4114166000, 0.8092335000)
(-0.4083963000, 0.4258766000, 0.8073647000)
(-0.4146037000, 0.4497856000, 0.7910722000)
(-0.4126086000, 0.4521426000, 0.7907601000)
(-0.4201575000, 0.4593646000, 0.7825798000)
(-0.4250295000, 0.4606775000, 0.7791777000)
(-0.4177782000, 0.4742359000, 0.7749392000)
(-0.4649260000, 0.3252784000, 0.8234231000)
(-0.3878359000, 0.3447759000, 0.8548046000)
(-0.3906163000, 0.3661060000, 0.8446079000)
(-0.4004808000, 0.3739231000, 0.8365222000)
(-0.3994435000, 0.3744051000, 0.8368139000)
(-0.4062180000, 0.4039414000, 0.8196313000)
(-0.3934188000, 0.4013963000, 0.8270842000)
(-0.4000531000, 0.4090854000, 0.8201091000)
(-0.4090787000, 0.4145088000, 0.8129033000)
(-0.4051474000, 0.4223959000, 0.8108245000)
(-0.4033140000, 0.4399284000, 0.8023690000)
(-0.3996244000, 0.4626205000, 0.7913721000)
(-0.3597379000, 0.3809526000, 0.8517222000)
(-0.1861970000, 0.1575395000, 0.9697824000)
(-0.1864324000, 0.2636078000, 0.9464275000)
