(-0.9460647000, -0.3228872000, 0.0265157600)
(-0.9524943000, -0.3033748000, 0.0263200900)
(-0.9484936000, -0.3150505000, 0.0330735400)
(-0.9528675000, -0.3003385000, 0.0426396800)
(-0.9521937000, -0.3035695000, 0.0340057100)
(-0.9112763000, -0.4004310000, 0.0960441100)
(-0.9539488000, -0.2978160000, 0.0357675900)
(-0.9522839000, -0.3028407000, 0.0378126500)
(-0.9494717000, -0.3125922000, 0.0278993900)
(-0.9458106000, -0.3232305000, 0.0306872800)
(-0.9478200000, -0.3166970000, 0.0364590700)
(-0.9264899000, -0.3482539000, 0.1425637000)
(-0.9557220000, -0.2913077000, -0.0415797500)
(-0.9581820000, -0.2839910000, -0.0349550200)
(-0.9572917000, -0.2866594000, -0.0376103700)
(-0.8862600000, -0.4300016000, 0.1721089000)
(-0.8698364000, -0.4421246000, 0.2187976000)
(-0.9564458000, -0.2904986000, -0.0281922900)
(-0.8698128000, -0.4282985000, 0.2448697000)
(-0.8969704000, -0.3199033000, 0.3050938000)
(-0.9164754000, -0.2821249000, 0.2836581000)
(-0.9162030000, -0.2965428000, 0.2694486000)
(-0.9109496000, -0.3168876000, 0.2640435000)
(-0.9131117000, -0.3157042000, 0.2579444000)
(-0.9562351000, -0.2904128000, -0.0352516400)
(-0.9581888000, -0.2843076000, -0.0319319700)
(-0.9558558000, -0.2927786000, -0.0248635700)
(-0.9574534000, -0.2872652000, -0.0272664600)
(-0.9581656000, -0.2848240000, -0.0278595500)
(-0.8492666000, -0.3628394000, 0.3835120000)
(-0.9591243000, -0.2816203000, -0.0273772200)
(-0.8539878000, -0.4423564000, 0.2738697000)
(-0.8912842000, -0.2733911000, 0.3617156000)
(-0.8510954000, -0.2876533000, 0.4391488000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.9584492000, -0.2812060000, -0.0476188500)
(-0.9612842000, -0.2683921000, -0.0624027000)
(-0.9637216000, -0.2570264000, -0.0718802400)
(-0.9625199000, -0.2632803000, -0.0648942300)
(-0.9655716000, -0.2554329000, -0.0490197300)
(-0.9626677000, -0.2632442000, -0.0628322700)
(-0.9644279000, -0.2554409000, -0.0679209400)
(-0.9628180000, -0.2628002000, -0.0623966600)
(-0.9611070000, -0.2688946000, -0.0628064300)
(-0.9046708000, -0.3379676000, 0.2594980000)
(-0.9161779000, -0.3178919000, 0.2440228000)
(-0.9603086000, -0.2776166000, -0.0269742300)
(-0.9603623000, -0.2718302000, -0.0615592100)
(-0.9600614000, -0.2731537000, -0.0605295200)
(-0.9601409000, -0.2716121000, -0.0659840700)
(-0.9597939000, -0.2740164000, -0.0607154100)
(-0.9588853000, -0.2764550000, -0.0639763900)
(-0.9608878000, -0.2698618000, -0.0619982700)
(-0.9582072000, -0.2790194000, -0.0630031000)
(-0.9579176000, -0.2804400000, -0.0611639000)
(-0.9578996000, -0.2790355000, -0.0673617800)
(-0.9587487000, -0.2778957000, -0.0596211000)
(-0.9634950000, -0.2621627000, -0.0541320700)
(-0.9625310000, -0.2662445000, -0.0512730600)
(-0.9619908000, -0.2675361000, -0.0546021500)
(-0.9611060000, -0.2718748000, -0.0483698000)
(-0.9624802000, -0.2670621000, -0.0480340400)
(-0.9623465000, -0.2664611000, -0.0535676400)
(-0.9634497000, -0.2631513000, -0.0499953400)
(-0.9619533000, -0.2692773000, -0.0459920800)
(-0.9593628000, -0.2781512000, -0.0473466200)
(-0.9602039000, -0.2789404000, -0.0134990300)
(-0.9608684000, -0.2758095000, -0.0253161500)
(-0.9616165000, -0.2703327000, -0.0467204500)
(-0.9616426000, -0.2741145000, -0.0099879250)
(-0.8710880000, -0.3457488000, 0.3487844000)
(-0.8692409000, -0.3452092000, 0.3538661000)
(-0.8685930000, -0.3470169000, 0.3536986000)
(-0.8633803000, -0.3518072000, 0.3616183000)
(-0.8885543000, -0.3190199000, 0.3296810000)
(-0.8953433000, -0.3107840000, 0.3189732000)
(-0.8863502000, -0.3323290000, 0.3223452000)
(-0.8924638000, -0.3182893000, 0.3196746000)
(-0.8873169000, -0.3369433000, 0.3148491000)
(-0.8871977000, -0.3372297000, 0.3148592000)
(-0.8620059000, -0.4031395000, 0.3072424000)
(-0.8861769000, -0.3372917000, 0.3176647000)
(-0.8726411000, -0.3469053000, 0.3437250000)
(-0.8749235000, -0.3413351000, 0.3434910000)
(-0.8680594000, -0.4290411000, 0.2497525000)
(-0.8849731000, -0.3237568000, 0.3346476000)
(-0.8914666000, -0.3065420000, 0.3336235000)
(-0.8927053000, -0.3278162000, 0.3091772000)
(-0.9603525000, -0.2752430000, -0.0442521900)
(-0.9596813000, -0.2776772000, -0.0434872900)
(-0.9595490000, -0.2773646000, -0.0480670100)
(-0.9602259000, -0.2748983000, -0.0486916200)
(-0.9596736000, -0.2772431000, -0.0464242100)
(-0.9602189000, -0.2742823000, -0.0521407100)
(-0.9609967000, -0.2727448000, -0.0456550700)
(-0.9603061000, -0.2744496000, -0.0496466200)
(-0.9602970000, -0.2744026000, -0.0502825200)
(-0.9618435000, -0.2678358000, -0.0557382600)
(-0.9599742000, -0.2746520000, -0.0546383600)
(-0.9601311000, -0.2739321000, -0.0556049500)
(-0.9594761000, -0.2761213000, -0.0562163900)
(-0.9037616000, -0.3302979000, 0.2722419000)
(-0.9113578000, -0.3258739000, 0.2514164000)
(-0.9453045000, -0.2592686000, 0.1978675000)
(-0.9370967000, -0.2911920000, 0.1924701000)
(-0.9001441000, -0.2775260000, 0.3356963000)
(-0.9310848000, -0.2849856000, 0.2276776000)
(-0.9235919000, -0.2356427000, 0.3023778000)
(-0.9162795000, -0.2994477000, 0.2659964000)
(-0.9466729000, -0.2180602000, 0.2371530000)
(-0.9243777000, -0.2930934000, 0.2441378000)
(-0.8992350000, -0.3405736000, 0.2745523000)
(-0.8978010000, -0.4007882000, 0.1825060000)
(-0.8902901000, -0.3924639000, 0.2309655000)
(-0.8798880000, -0.4050927000, 0.2483483000)
(-0.9633234000, -0.2637392000, -0.0492132000)
(-0.9632061000, -0.2640113000, -0.0502261100)
(-0.9633393000, -0.2650049000, -0.0415615300)
(-0.9634960000, -0.2616617000, -0.0566310400)
(-0.9653977000, -0.2557249000, -0.0510539800)
(-0.9643039000, -0.2592760000, -0.0535204200)
(-0.9636299000, -0.2625941000, -0.0495321800)
(-0.9643651000, -0.2595896000, -0.0510119800)
(-0.9615595000, -0.2704693000, -0.0473864900)
(-0.9583817000, -0.2800730000, -0.0553249400)
(-0.9592133000, -0.2771826000, -0.0552242400)
(-0.9601048000, -0.2738951000, -0.0563392400)
(-0.9602597000, -0.2729829000, -0.0578828200)
(-0.9596388000, -0.2757989000, -0.0548390100)
(-0.9606885000, -0.2719302000, -0.0558739800)
(-0.9607228000, -0.2718315000, -0.0556778100)
(-0.9607682000, -0.2716290000, -0.0558151600)
(-0.9606587000, -0.2723212000, -0.0544631100)
(-0.9606260000, -0.2725751000, -0.0537034300)
(-0.9602991000, -0.2735907000, -0.0542708600)
(-0.9603496000, -0.2735008000, -0.0538513500)
(-0.9600506000, -0.2745799000, -0.0536407900)
(-0.9592276000, -0.2773885000, -0.0539928100)
(-0.9601343000, -0.2742363000, -0.0541442600)
(-0.9599756000, -0.2747056000, -0.0546138100)
(-0.9253343000, -0.3781338000, 0.0276257400)
(-0.9123364000, -0.4045940000, 0.0626233800)
(-0.9052677000, -0.4218044000, 0.0504909800)
(-0.8900477000, -0.4527502000, 0.0531153400)
(-0.9608140000, -0.2689975000, -0.0668675000)
(-0.9609041000, -0.2681938000, -0.0686533100)
(-0.9609997000, -0.2649467000, -0.0791401300)
(-0.9606156000, -0.2685134000, -0.0713378400)
(-0.9604790000, -0.2687339000, -0.0724471400)
(-0.9590119000, -0.2760286000, -0.0638564200)
(-0.9612495000, -0.2680361000, -0.0644026200)
(-0.9597486000, -0.2732856000, -0.0645988500)
(-0.9611144000, -0.2671150000, -0.0699120800)
(-0.9608173000, -0.2701005000, -0.0622118900)
(-0.9618972000, -0.2676158000, -0.0559286300)
(-0.9593336000, -0.2770166000, -0.0541014700)
(-0.9589656000, -0.2780604000, -0.0552084500)
(-0.9593977000, -0.2768091000, -0.0540179100)
(-0.9597765000, -0.2754366000, -0.0543423200)
(-0.9596872000, -0.2755397000, -0.0552392000)
(-0.9598424000, -0.2746552000, -0.0569589600)
(-0.9602671000, -0.2723005000, -0.0611005600)
