(-0.8412585000, -0.5256672000, 0.1262136000)
(-0.8413715000, -0.5252393000, 0.1273071000)
(-0.8414599000, -0.5252361000, 0.1267043000)
(-0.8415022000, -0.5250858000, 0.1269887000)
(-0.8430237000, -0.5223334000, 0.1283474000)
(-0.8436456000, -0.5213412000, 0.1282671000)
(-0.8441112000, -0.5201818000, 0.1298889000)
(-0.8435531000, -0.5203652000, 0.1327705000)
(-0.8435990000, -0.5212151000, 0.1290362000)
(-0.8437490000, -0.5214121000, 0.1273212000)
(-0.8431052000, -0.5225019000, 0.1270888000)
(-0.8417421000, -0.5247143000, 0.1269926000)
(-0.8416957000, -0.5249419000, 0.1263852000)
(-0.8414181000, -0.5259748000, 0.1238565000)
(-0.8418403000, -0.5254029000, 0.1234315000)
(-0.8437609000, -0.5225437000, 0.1224542000)
(-0.8443387000, -0.5221863000, 0.1200118000)
(-0.8423415000, -0.5254301000, 0.1198083000)
(-0.8423521000, -0.5252102000, 0.1206927000)
(-0.8423594000, -0.5253455000, 0.1201369000)
(-0.8393670000, -0.5301243000, 0.1200895000)
(-0.8409730000, -0.5276053000, 0.1199370000)
(-0.8420878000, -0.5266280000, 0.1163601000)
(-0.8393031000, -0.5308125000, 0.1174497000)
(-0.8399284000, -0.5298083000, 0.1175147000)
(-0.7749158000, -0.6226204000, 0.1088096000)
(-0.7557657000, -0.6461364000, 0.1063811000)
(-0.7487089000, -0.6545202000, 0.1049382000)
(-0.8400115000, -0.5296505000, 0.1176114000)
(-0.8398761000, -0.5296675000, 0.1184555000)
(-0.8399378000, -0.5295606000, 0.1184743000)
(-0.8389627000, -0.5310155000, 0.1189155000)
(-0.8391754000, -0.5307135000, 0.1187308000)
(-0.8424351000, -0.5256973000, 0.1180677000)
(-0.8434578000, -0.5236096000, 0.1199169000)
(-0.8436339000, -0.5231146000, 0.1209093000)
(-0.8422731000, -0.5250900000, 0.1217430000)
(-0.8431448000, -0.5236854000, 0.1218467000)
(-0.8436880000, -0.5227978000, 0.1218753000)
(-0.8433936000, -0.5234225000, 0.1212214000)
(-0.8460451000, -0.5188876000, 0.1222848000)
(-0.8463026000, -0.5184619000, 0.1222642000)
(-0.8606421000, -0.4938334000, 0.1240808000)
(-0.8448910000, -0.5287579000, 0.0810400800)
(-0.8536063000, -0.5169997000, 0.0635509800)
(-0.8514866000, -0.5214589000, 0.0550997800)
(-0.8518721000, -0.5208679000, 0.0545803200)
(-0.8557975000, -0.5132452000, 0.0645308900)
(-0.8591589000, -0.5079778000, 0.0614303300)
(-0.8591477000, -0.5084893000, 0.0573430200)
(-0.8597233000, -0.5073154000, 0.0589635500)
(-0.8598741000, -0.5070118000, 0.0594907600)
(-0.8586689000, -0.5090873000, 0.0591966700)
(-0.8589827000, -0.5084133000, 0.0604426100)
(-0.8593494000, -0.5076709000, 0.0613479700)
(-0.8610496000, -0.5049123000, 0.0602887000)
(-0.8621930000, -0.5029788000, 0.0601163000)
(-0.8641028000, -0.4997343000, 0.0597924800)
(-0.8648269000, -0.4985305000, 0.0592969600)
(-0.8655808000, -0.4975083000, 0.0570043900)
(-0.8676788000, -0.4941134000, 0.0543351500)
(-0.8724288000, -0.4864959000, 0.0465408400)
(-0.8700164000, -0.4916025000, 0.0372166600)
(-0.8648646000, -0.5010052000, 0.0315651100)
(-0.8660858000, -0.4988900000, 0.0316059200)
(-0.8707061000, -0.4907472000, 0.0319190900)
(-0.8757739000, -0.4818437000, 0.0288703100)
(-0.8783243000, -0.4769742000, 0.0317827800)
(-0.8771416000, -0.4793676000, 0.0287457600)
(-0.8778602000, -0.4780321000, 0.0287882200)
(-0.8783648000, -0.4771082000, 0.0286956800)
(-0.8805326000, -0.4730696000, 0.0291023200)
(-0.8814192000, -0.4712524000, 0.0319102200)
(-0.8832002000, -0.4678808000, 0.0318656000)
(-0.8831060000, -0.4681266000, 0.0311569100)
(-0.8823727000, -0.4696983000, 0.0280482000)
(-0.8813452000, -0.4715156000, 0.0298599700)
(-0.8813711000, -0.4715872000, 0.0276110200)
(-0.8824590000, -0.4696555000, 0.0259141900)
(-0.8818941000, -0.4707383000, 0.0252552400)
(-0.8829256000, -0.4687879000, 0.0257459600)
(-0.8811670000, -0.4715517000, 0.0339504500)
(-0.8601082000, -0.5093471000, 0.0278177600)
(-0.8761831000, -0.4798895000, 0.0447475300)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.6219425000, -0.7821485000, 0.0372993900)
(-0.7645103000, -0.6442628000, 0.0207712900)
(-0.6450195000, -0.7636634000, 0.0274398500)
(-0.6525485000, -0.7568480000, 0.0366007900)
(-0.6354081000, -0.7711240000, 0.0400281400)
(-0.6473417000, -0.7612731000, 0.0372136000)
(-0.6525459000, -0.7572964000, 0.0259062800)
(-0.6501683000, -0.7592846000, 0.0271393100)
(-0.6652893000, -0.7461640000, 0.0244363200)
(-0.6671630000, -0.7445548000, 0.0224741800)
(-0.6588602000, -0.7520898000, 0.0160865100)
(-0.6781431000, -0.7347489000, 0.0153378700)
(-0.6782916000, -0.7346364000, 0.0143547600)
(-0.8117316000, -0.5824133000, 0.0432932400)
(-0.6705492000, -0.7415569000, 0.0208401500)
(-0.6652526000, -0.7464287000, 0.0159582800)
(-0.6710370000, -0.7411150000, 0.0205331600)
(-0.6687989000, -0.7432689000, 0.0156065200)
(-0.8123527000, -0.5806512000, 0.0539643300)
(-0.8118735000, -0.5812538000, 0.0544985200)
(-0.8120195000, -0.5813594000, 0.0511686000)
(-0.8147951000, -0.5773155000, 0.0530087600)
(-0.8141760000, -0.5783388000, 0.0512071400)
(-0.8140442000, -0.5785155000, 0.0513795000)
(-0.8147419000, -0.5774142000, 0.0527027700)
(-0.8155473000, -0.5763680000, 0.0516596200)
(-0.8159088000, -0.5757272000, 0.0530932100)
(-0.8162830000, -0.5751821000, 0.0533154500)
(-0.8167393000, -0.5745604000, 0.0530098000)
(-0.8182375000, -0.5724767000, 0.0522586000)
(-0.8188531000, -0.5717223000, 0.0509431700)
(-0.8190418000, -0.5717689000, 0.0473533300)
(-0.8197222000, -0.5708993000, 0.0457658300)
(-0.8190871000, -0.5718282000, 0.0457607200)
(-0.8184156000, -0.5727040000, 0.0467438100)
(-0.8148040000, -0.5778959000, 0.0460675900)
(-0.8143892000, -0.5785139000, 0.0455637300)
(-0.8046320000, -0.5921143000, 0.0441209300)
(-0.8153136000, -0.5771086000, 0.0467581500)
(-0.8202211000, -0.5698199000, 0.0502388900)
(-0.8198806000, -0.5702136000, 0.0514015100)
(-0.8208207000, -0.5686958000, 0.0529457800)
(-0.8179330000, -0.5725741000, 0.0558576200)
(-0.8136626000, -0.5759394000, 0.0788646700)
(-0.8181060000, -0.5747165000, 0.0200095700)
(-0.8237693000, -0.5666810000, 0.0163195400)
(-0.8228158000, -0.5680637000, 0.0164504600)
(-0.8220262000, -0.5691731000, 0.0168430600)
(-0.8221618000, -0.5687240000, 0.0244055000)
(-0.8223806000, -0.5683799000, 0.0245966500)
(-0.8258420000, -0.5633830000, 0.0239696100)
(-0.8291240000, -0.5585738000, 0.0229739100)
(-0.8270313000, -0.5616186000, 0.0241089300)
(-0.8304627000, -0.5565643000, 0.0231983400)
(-0.8306218000, -0.5563290000, 0.0230844800)
(-0.8317997000, -0.5545832000, 0.0231275800)
(-0.8332861000, -0.5523293000, 0.0233521900)
(-0.8343275000, -0.5507669000, 0.0234278100)
(-0.8358484000, -0.5484444000, 0.0231788900)
(-0.8369748000, -0.5467643000, 0.0221352500)
(-0.8370783000, -0.5465984000, 0.0226745400)
(-0.8378598000, -0.5453184000, 0.0242600600)
(-0.8382690000, -0.5446466000, 0.0252137400)
(-0.8382590000, -0.5446778000, 0.0253038200)
(-0.8392408000, -0.5431533000, 0.0254848800)
(-0.8404780000, -0.5412165000, 0.0257595900)
(-0.8321372000, -0.5536001000, 0.0326366400)
(-0.8310856000, -0.5550213000, 0.0349203900)
(-0.8308069000, -0.5554442000, 0.0350826500)
(-0.7449192000, -0.6671000000, 0.0076267230)
(-0.7461402000, -0.6657469000, 0.0052072700)
(-0.7399029000, -0.6726463000, 0.0077646790)
(-0.7370974000, -0.6756643000, 0.0113884200)
(-0.7363628000, -0.6765397000, 0.0057139510)
(-0.8408923000, -0.5410814000, 0.0104135900)
(-0.8420141000, -0.5393466000, 0.0099161190)
(-0.8432110000, -0.5374793000, 0.0095658850)
(-0.8436921000, -0.5367146000, 0.0102739900)
(-0.8460919000, -0.5328961000, 0.0116501800)
(-0.8481673000, -0.5295815000, 0.0122999400)
(-0.8476404000, -0.5304036000, 0.0120326000)
(-0.8490650000, -0.5281698000, 0.0106064200)
(-0.8401070000, -0.5423895000, 0.0052137010)
(-0.8390884000, -0.5439309000, 0.0076730000)
(-0.8368138000, -0.5474595000, 0.0010492610)
(-0.8397420000, -0.5429580000, -0.0005014159)
(-0.8416846000, -0.5399511000, 0.0005592917)
(-0.8434442000, -0.5371899000, 0.0038420910)
(-0.8435927000, -0.5369516000, 0.0039164970)
(-0.8428595000, -0.5381035000, 0.0026050940)
(-0.8417202000, -0.5398938000, 0.0027659700)
(-0.8414031000, -0.5403617000, 0.0042898750)
(-0.8411672000, -0.5407369000, 0.0056273360)
(-0.8411857000, -0.5407202000, 0.0035847670)
(-0.8387340000, -0.5444686000, -0.0085155740)
(-0.8342348000, -0.5512401000, -0.0125292500)
(-0.8353967000, -0.5495141000, -0.0114367900)
(-0.8351426000, -0.5498747000, -0.0125604900)
(-0.8352401000, -0.5497506000, -0.0113860900)
(-0.8351799000, -0.5498479000, -0.0114135600)
(-0.8336011000, -0.5522532000, -0.0097609420)
(-0.8322857000, -0.5542725000, -0.0081564340)
(-0.8297793000, -0.5580276000, -0.0076844140)
(-0.8321732000, -0.5543419000, -0.0127410500)
(-0.8297508000, -0.5577096000, -0.0214851000)
(-0.8199119000, -0.5722036000, -0.0175463900)
(-0.8128036000, -0.5822692000, -0.0174071700)
(-0.8118826000, -0.5835969000, -0.0153642300)
(-0.8094135000, -0.5870438000, -0.0141910900)
(-0.8015409000, -0.5977749000, -0.0131100500)
(-0.7898769000, -0.6131652000, -0.0101100500)
(-0.8259913000, -0.5635490000, -0.0111115400)
(-0.8329747000, -0.5532997000, -0.0009773319)
(-0.8273976000, -0.5613862000, -0.0158491800)
(-0.8210309000, -0.5704550000, -0.0218833000)
(-0.8227761000, -0.5683437000, -0.0013764600)
(-0.8130805000, -0.5821304000, -0.0031943850)
(-0.8026764000, -0.5963848000, -0.0025374650)
(-0.8011110000, -0.5985060000, -0.0013924540)
(-0.8045094000, -0.5939062000, -0.0032424360)
(-0.8326666000, -0.5536749000, -0.0094913520)
(-0.8134755000, -0.5815441000, 0.0063899010)
(-0.8124961000, -0.5826046000, 0.0203368200)
(-0.8147901000, -0.5786653000, 0.0351554500)
(-0.8164890000, -0.5768322000, 0.0242189800)
(-0.8177749000, -0.5748261000, 0.0282807700)
(-0.8193165000, -0.5726524000, 0.0278975000)
(-0.8183575000, -0.5739393000, 0.0292447500)
(-0.8169060000, -0.5759418000, 0.0307490400)
(-0.7534344000, -0.6572431000, 0.0191711200)
(-0.8180373000, -0.5743931000, 0.0296535300)
(-0.8190643000, -0.5729503000, 0.0291522100)
(-0.8235008000, -0.5672927000, -0.0043280160)
(-0.8245584000, -0.5656243000, -0.0126361900)
(-0.8240694000, -0.5664586000, -0.0014364590)
(-0.8244146000, -0.5659384000, -0.0053837300)
(-0.8249977000, -0.5651075000, -0.0034733070)
(-0.8255807000, -0.5642566000, -0.0039271920)
(-0.8253960000, -0.5645401000, -0.0034374910)
(-0.8256397000, -0.5641703000, -0.0031891360)
(-0.8258021000, -0.5639490000, -0.0013336840)
(-0.8254164000, -0.5645123000, -0.0006686760)
(-0.8247308000, -0.5655114000, -0.0000943462)
(-0.8247361000, -0.5655099000, 0.0004317434)
(-0.8268111000, -0.5624059000, 0.0075608100)
(-0.8273459000, -0.5616125000, -0.0084640940)
(-0.8240734000, -0.5662642000, -0.0150796400)
(-0.8298368000, -0.5577144000, -0.0173481800)
(-0.8276980000, -0.5609579000, -0.0154270700)
(-0.8303567000, -0.5568936000, -0.0186654400)
(-0.8274240000, -0.5613580000, -0.0153276800)
(-0.8276868000, -0.5609658000, -0.0156325300)
(-0.8277026000, -0.5609429000, -0.0149399400)
(-0.8277731000, -0.5608668000, -0.0139042500)
(-0.8277744000, -0.5608754000, -0.0133204900)
(-0.8277768000, -0.5608811000, -0.0135174100)
(-0.8276600000, -0.5610872000, -0.0123496200)
(-0.8273993000, -0.5614556000, -0.0122065400)
(-0.8214113000, -0.5703217000, -0.0001090001)
(-0.8147655000, -0.5797680000, -0.0043499610)
(-0.8198814000, -0.5725289000, 0.0003973095)
(-0.8201376000, -0.5721412000, -0.0007009112)
