(-0.8558571000, -0.5103075000, -0.0841203200)
(-0.8560060000, -0.5104391000, -0.0817742300)
(-0.8571550000, -0.5084339000, -0.0823316600)
(-0.8591639000, -0.5048548000, -0.0833641800)
(-0.8948171000, -0.4452035000, -0.0329878600)
(-0.8951617000, -0.4444419000, -0.0338276700)
(-0.8954892000, -0.4435701000, -0.0365196900)
(-0.8942286000, -0.4463562000, -0.0332934100)
(-0.8862379000, -0.4613788000, -0.0413658500)
(-0.8867557000, -0.4607874000, -0.0365371600)
(-0.8842381000, -0.4650574000, -0.0427633400)
(-0.8796005000, -0.4730837000, -0.0499119200)
(-0.8846142000, -0.4644852000, -0.0411089600)
(-0.8886258000, -0.4576132000, -0.0304753600)
(-0.8919879000, -0.4509019000, -0.0321997700)
(-0.8928109000, -0.4491535000, -0.0337416500)
(-0.8972770000, -0.4403071000, -0.0315540100)
(-0.8902785000, -0.4518012000, -0.0572598700)
(-0.8935937000, -0.4443067000, -0.0637108500)
(-0.8899017000, -0.4520505000, -0.0608249300)
(-0.8852830000, -0.4592173000, -0.0733479300)
(-0.8823161000, -0.4700940000, 0.0228025000)
(-0.8377753000, -0.5437142000, 0.0498889300)
(-0.7813533000, -0.6236564000, 0.0229486500)
(-0.7710936000, -0.6352097000, 0.0437389600)
(-0.5926552000, -0.7844473000, 0.1826833000)
(-0.7519787000, -0.6439629000, 0.1407467000)
(-0.7809473000, -0.6192809000, 0.0811683100)
(-0.7884978000, -0.6093404000, 0.0834420700)
(-0.7999356000, -0.5946490000, 0.0805621600)
(-0.7995404000, -0.5959948000, 0.0741015600)
(-0.8111582000, -0.5801702000, 0.0734759900)
(-0.8139942000, -0.5763293000, 0.0723555000)
(-0.8171701000, -0.5711389000, 0.0775545800)
(-0.8313339000, -0.5499712000, 0.0800775700)
(-0.8273095000, -0.5549652000, 0.0868410200)
(-0.8281648000, -0.5534773000, 0.0882507900)
(-0.8549350000, -0.5132278000, 0.0752746500)
(-0.8269529000, -0.5573943000, 0.0737682800)
(-0.8030900000, -0.5926505000, 0.0615871000)
(-0.6322029000, -0.7578914000, -0.1609547000)
(-0.7631093000, -0.6460041000, 0.0176257600)
(-0.7480792000, -0.6628115000, 0.0322601600)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.5841107000, -0.8115954000, -0.0103724800)
(-0.5906205000, -0.8066400000, -0.0220718100)
(-0.5873688000, -0.8092499000, -0.0095657180)
(-0.5537456000, -0.8323827000, 0.0218907900)
(-0.6035801000, -0.7971929000, -0.0120306900)
(-0.6129214000, -0.7901114000, -0.0043771420)
(-0.6100721000, -0.7923066000, -0.0051070000)
(-0.6244963000, -0.7809468000, -0.0102529000)
(-0.6186816000, -0.7856270000, 0.0016483870)
(-0.6256300000, -0.7800937000, -0.0044354850)
(-0.6165023000, -0.7871397000, -0.0173754300)
(-0.6230530000, -0.7821434000, -0.0056491740)
(-0.6230664000, -0.7821354000, -0.0060564250)
(-0.6233348000, -0.7819294000, -0.0038993850)
(-0.6250650000, -0.7805052000, -0.0085216100)
(-0.6259643000, -0.7798135000, -0.0061585880)
(-0.6258980000, -0.7798289000, -0.0102870700)
(-0.6307445000, -0.7759019000, -0.0108424800)
(-0.6417821000, -0.7657598000, -0.0411792800)
(-0.6329713000, -0.7729294000, -0.0437411600)
(-0.6394429000, -0.7677307000, -0.0412297200)
(-0.6529291000, -0.7569790000, -0.0253604700)
(-0.6529384000, -0.7558591000, -0.0481793800)
(-0.6615191000, -0.7484376000, -0.0470620700)
(-0.6655864000, -0.7448139000, -0.0470148100)
(-0.6765164000, -0.7347605000, -0.0493235700)
(-0.6802725000, -0.7312477000, -0.0498289600)
(-0.6745046000, -0.7365398000, -0.0502801100)
(-0.6788188000, -0.7323411000, -0.0535589500)
(-0.6818482000, -0.7297140000, -0.0508766200)
(-0.6758990000, -0.7366166000, -0.0229707900)
(-0.6741746000, -0.7379056000, -0.0309594800)
(-0.6795568000, -0.7324632000, -0.0410973100)
(-0.6864176000, -0.7251043000, -0.0551194500)
(-0.6881809000, -0.7234962000, -0.0541428400)
(-0.7053620000, -0.7081196000, -0.0319649800)
(-0.7222883000, -0.6900651000, -0.0456658400)
(-0.8217101000, -0.5697973000, -0.0105959600)
(-0.8287346000, -0.5583213000, 0.0379497000)
(-0.8398333000, -0.5427496000, 0.0096742190)
(-0.8383321000, -0.5443013000, -0.0301453300)
(-0.8495538000, -0.5222589000, 0.0740654500)
(-0.8568195000, -0.5140141000, 0.0402896000)
(-0.8556647000, -0.5161465000, 0.0377092600)
(-0.8504999000, -0.5253217000, 0.0257661500)
(-0.8511498000, -0.5245689000, 0.0185562500)
(-0.8507857000, -0.5254355000, 0.0068823720)
(-0.8508183000, -0.5254149000, -0.0043913450)
(-0.8489493000, -0.5283822000, -0.0079870260)
(-0.8603498000, -0.5096175000, 0.0092906020)
(-0.8509879000, -0.5247335000, 0.0212754600)
(-0.8486251000, -0.5282495000, 0.0279307300)
(-0.8500956000, -0.5258345000, 0.0284625800)
(-0.8339618000, -0.5516855000, 0.0119265300)
(-0.8309649000, -0.5563068000, 0.0025638170)
(-0.8412915000, -0.5404307000, 0.0119697200)
(-0.8440363000, -0.5360788000, 0.0137240500)
(-0.8315765000, -0.5552974000, -0.0105120000)
(-0.7276190000, -0.6859708000, 0.0022867500)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(-0.7204322000, -0.6934969000, 0.0046377820)
(-0.8089967000, -0.5839710000, 0.0668674500)
(-0.8392498000, -0.5430626000, 0.0270192100)
(-0.8439727000, -0.5335475000, 0.0549191800)
(-0.7914625000, -0.6110035000, -0.0153856400)
(-0.8104107000, -0.5726197000, 0.1238254000)
(-0.8038189000, -0.5874715000, 0.0934329800)
(-0.7799211000, -0.6256039000, -0.0180852100)
(-0.8337072000, -0.5520379000, -0.0125040200)
(-0.8345549000, -0.5506852000, 0.0157145000)
(-0.8347034000, -0.5506782000, 0.0022000740)
(-0.8281767000, -0.5600614000, -0.0205582600)
(-0.8292755000, -0.5571547000, -0.0430960400)
(-0.8595843000, -0.4996199000, 0.1070761000)
(-0.8438160000, -0.5354984000, -0.0347579400)
(-0.8456918000, -0.5336131000, -0.0071915760)
(-0.8559588000, -0.5145633000, 0.0504093900)
(-0.8603992000, -0.5070669000, 0.0507346000)
(-0.8144750000, -0.5801260000, 0.0082670980)
(-0.8270563000, -0.5456537000, 0.1349293000)
(-0.8192136000, -0.5734813000, -0.0012953850)
(-0.8283719000, -0.5593255000, 0.0307995200)
(-0.8322744000, -0.5541763000, 0.0140243100)
(-0.8187138000, -0.5686488000, 0.0794934600)
(-0.7756985000, -0.6310836000, -0.0029407620)
(-0.7226648000, -0.6892385000, 0.0517496800)
(-0.7770336000, -0.6280830000, 0.0414754200)
(-0.7642807000, -0.6439943000, -0.0338258300)
(-0.7633782000, -0.6451824000, -0.0309673200)
(-0.6133792000, -0.7506302000, -0.2455716000)
(-0.6890669000, -0.6855019000, 0.2350836000)
(-0.7482516000, -0.6537195000, -0.1128782000)
(-0.7151943000, -0.6946271000, -0.0772463500)
(-0.7088424000, -0.7052931000, 0.0086431420)
(-0.7118706000, -0.7011223000, 0.0406323000)
(-0.7680412000, -0.6400450000, -0.0208304700)
(-0.7668572000, -0.6405921000, -0.0392606100)
(-0.7710939000, -0.6355366000, -0.0387340400)
(-0.7713589000, -0.6352278000, -0.0384850800)
(-0.7715459000, -0.6351301000, -0.0361784500)
(-0.7722455000, -0.6342207000, -0.0370119100)
(-0.7749866000, -0.6302854000, -0.0459178800)
(-0.7482239000, -0.6586977000, -0.0791661000)
(-0.6554608000, -0.6896436000, -0.3078191000)
