(0.0011674130, -0.7152255000, 0.6988918000)
(-0.0035118420, -0.7099864000, 0.7041889000)
(-0.0072252420, -0.7101035000, 0.7040541000)
(-0.0075649400, -0.7122610000, 0.7018587000)
(-0.0042611570, -0.7094547000, 0.7047315000)
(-0.0029052170, -0.7094119000, 0.7047848000)
(-0.0015594080, -0.7090779000, 0.7051236000)
(0.0055731120, -0.7128088000, 0.7013333000)
(0.0138495500, -0.7161120000, 0.6978366000)
(0.0166369700, -0.7168339000, 0.6970254000)
(0.0195706200, -0.7197332000, 0.6939631000)
(0.0195283900, -0.7190676000, 0.6946605000)
(0.0225789800, -0.7207747000, 0.6927921000)
(0.0233314400, -0.7204323000, 0.6931227000)
(0.0225260600, -0.7192322000, 0.6943958000)
(0.0168284900, -0.7196996000, 0.6940611000)
(0.0040583770, -0.7133577000, 0.7007712000)
(0.0022509880, -0.7113189000, 0.7028568000)
(0.0023876810, -0.7107604000, 0.7034251000)
(0.0029546090, -0.7114878000, 0.7026882000)
(0.0082193170, -0.7139054000, 0.7001799000)
(0.0067650980, -0.7104217000, 0.7037382000)
(0.0100373900, -0.7108074000, 0.7032982000)
(0.0118925600, -0.7122218000, 0.7018456000)
(0.0141096100, -0.7135639000, 0.7004340000)
(0.0174049000, -0.7154754000, 0.6984118000)
(0.0163425200, -0.7157472000, 0.6981511000)
(0.0130107100, -0.7140569000, 0.6999663000)
(0.0130065400, -0.7128550000, 0.7011868000)
(0.0137450400, -0.7124654000, 0.7015588000)
(0.0146446100, -0.7120308000, 0.7019875000)
(0.0208848200, -0.7063079000, 0.7075911000)
(-0.0048677920, -0.7098477000, 0.7043327000)
(-0.0264900300, -0.7107825000, 0.7029088000)
(-0.0153747300, -0.7123758000, 0.7016240000)
(-0.0219803000, -0.7072730000, 0.7065951000)
(-0.0149517500, -0.7061452000, 0.7079058000)
(-0.0169007100, -0.7050177000, 0.7089843000)
(-0.0155095100, -0.7060032000, 0.7080302000)
(-0.0051345660, -0.7068924000, 0.7072887000)
(-0.0071132990, -0.7094895000, 0.7046747000)
(-0.0072824070, -0.7082918000, 0.7058649000)
(-0.0071854010, -0.7065690000, 0.7076062000)
(0.0096074630, -0.7060793000, 0.7080494000)
(0.0097833300, -0.7078342000, 0.7063098000)
(0.0150395400, -0.7083201000, 0.7057137000)
(0.0237378400, -0.7079464000, 0.7058537000)
(0.0245466900, -0.7154393000, 0.6982230000)
(0.0290205100, -0.7129815000, 0.7005808000)
(0.0214449300, -0.7104726000, 0.7033760000)
(-0.0133011300, -0.7038763000, 0.7101842000)
(-0.0418193700, -0.7011324000, 0.7117999000)
(-0.0534625700, -0.6898131000, 0.7220074000)
(-0.0544833200, -0.6937740000, 0.7181240000)
(-0.0541598100, -0.6865085000, 0.7250819000)
(-0.0451156600, -0.6928762000, 0.7196312000)
(-0.0389782200, -0.6905835000, 0.7221833000)
(-0.0373410000, -0.6959011000, 0.7171463000)
(-0.0377657600, -0.6912089000, 0.7216624000)
(-0.0338722900, -0.6850030000, 0.7277355000)
(-0.0355351600, -0.6903177000, 0.7226146000)
(-0.0313902700, -0.6879631000, 0.7250601000)
(-0.0276776500, -0.6889620000, 0.7242669000)
(-0.0280295800, -0.6872355000, 0.7258775000)
(-0.0068596890, -0.6956522000, 0.7183298000)
(0.0107037900, -0.7015017000, 0.7125802000)
(0.0171916500, -0.7005552000, 0.7133732000)
(0.0182674100, -0.7029647000, 0.7109804000)
(0.0224569600, -0.6971878000, 0.7165273000)
(0.0175602400, -0.6956944000, 0.7181181000)
(0.0144156700, -0.6961851000, 0.7177072000)
(0.0156809300, -0.6967558000, 0.7171335000)
(0.0178567300, -0.6964767000, 0.7173506000)
(0.0302360700, -0.6972149000, 0.7162048000)
(0.0426008200, -0.6980290000, 0.7147868000)
(0.0526139600, -0.6975991000, 0.7145508000)
(0.0553414200, -0.7048558000, 0.7071844000)
(0.0610563800, -0.7005178000, 0.7110093000)
(0.0639248100, -0.6973949000, 0.7138106000)
(0.0705226000, -0.6945476000, 0.7159621000)
(0.0751221900, -0.6996147000, 0.7105467000)
(0.0665458400, -0.6958242000, 0.7151104000)
(0.0822637200, -0.7005841000, 0.7088042000)
(0.0815473300, -0.6994016000, 0.7100440000)
(0.0681882100, -0.7001939000, 0.7106806000)
(0.0631313700, -0.6978597000, 0.7134336000)
(0.0676689700, -0.7016015000, 0.7093292000)
(0.0699083500, -0.6972905000, 0.7133652000)
(0.0927349600, -0.6999517000, 0.7081392000)
(0.0938727400, -0.7002985000, 0.7076286000)
(0.0976399900, -0.7048343000, 0.7026172000)
(0.0896301600, -0.7025574000, 0.7059556000)
(0.0825452200, -0.6975660000, 0.7117327000)
(0.0889535200, -0.6991018000, 0.7094468000)
(0.1040507000, -0.7000150000, 0.7065026000)
(0.1068786000, -0.6980523000, 0.7080141000)
(0.0948248700, -0.7005297000, 0.7072774000)
(0.0054553330, -0.7068703000, 0.7073154000)
(-0.0518731900, -0.7073576000, 0.7049296000)
(-0.0979399700, -0.7032132000, 0.7041856000)
(-0.1259633000, -0.7127346000, 0.6900086000)
(-0.1276753000, -0.7128238000, 0.6896170000)
(-0.1277740000, -0.7100500000, 0.6924486000)
(-0.1225078000, -0.7054936000, 0.6980264000)
(-0.1183804000, -0.7053219000, 0.6989192000)
(-0.1179915000, -0.7031037000, 0.7012104000)
(-0.1135586000, -0.7018934000, 0.7031678000)
(-0.1084312000, -0.7045775000, 0.7012723000)
(-0.1052633000, -0.7050717000, 0.7012736000)
(-0.1037483000, -0.7043169000, 0.7022492000)
(-0.0990924000, -0.7056426000, 0.7015924000)
(-0.0955065000, -0.7058355000, 0.7019033000)
(-0.0877578800, -0.7020218000, 0.7067212000)
