(-0.6661562000, -0.0023969570, 0.0111439600, 0.7457252000)
(-0.6661485000, -0.0024789400, 0.0112309400, 0.7457305000)
(-0.6661138000, -0.0024828610, 0.0112411400, 0.7457613000)
(-0.6662582000, -0.0023269280, 0.0112067400, 0.7456333000)
(-0.6662998000, -0.0023703570, 0.0111826600, 0.7455963000)
(-0.6661573000, -0.0024202670, 0.0112266900, 0.7457228000)
(-0.6661090000, -0.0023031230, 0.0112276300, 0.7457664000)
(-0.6659884000, -0.0024641640, 0.0111242900, 0.7458751000)
(-0.6661330000, -0.0024053060, 0.0110771200, 0.7457469000)
(-0.6660812000, -0.0024258170, 0.0110708200, 0.7457932000)
(-0.6659586000, -0.0022246130, 0.0111821700, 0.7459016000)
(-0.6660321000, -0.0024068610, 0.0111311100, 0.7458361000)
(-0.6661692000, -0.0022763990, 0.0111975000, 0.7457131000)
(-0.6661360000, -0.0024024150, 0.0111816500, 0.7457426000)
(-0.6661550000, -0.0024449570, 0.0112245900, 0.7457249000)
(-0.6660925000, -0.0024190360, 0.0112100300, 0.7457810000)
(-0.6660500000, -0.0024880330, 0.0112095600, 0.7458187000)
(-0.6660613000, -0.0024355980, 0.0111641000, 0.7458094000)
(-0.6660251000, -0.0024844180, 0.0112502200, 0.7458404000)
(-0.6660762000, -0.0024680670, 0.0111630700, 0.7457961000)
(-0.6661516000, -0.0025789380, 0.0113444100, 0.7457256000)
(-0.6660718000, -0.0024675260, 0.0111940100, 0.7457995000)
(-0.6659938000, -0.0025754860, 0.0112131100, 0.7458687000)
(-0.6659580000, -0.0025998840, 0.0113300200, 0.7458987000)
(-0.6660110000, -0.0025494400, 0.0113719200, 0.7458509000)
(-0.6660195000, -0.0024877390, 0.0114387400, 0.7458425000)
(-0.6659681000, -0.0024632220, 0.0113638500, 0.7458896000)
(-0.6657575000, -0.0025994640, 0.0113953100, 0.7460766000)
(-0.6658642000, -0.0026739480, 0.0113186200, 0.7459824000)
(-0.6659774000, -0.0025433950, 0.0112425400, 0.7458829000)
(-0.6660508000, -0.0024422190, 0.0112633100, 0.7458174000)
(-0.6660407000, -0.0024627790, 0.0111024800, 0.7458287000)
(-0.6660121000, -0.0025752110, 0.0111536100, 0.7458531000)
(-0.6659604000, -0.0024434490, 0.0110292200, 0.7459015000)
(-0.6659557000, -0.0026861380, 0.0110930500, 0.7459041000)
(-0.6659856000, -0.0026995850, 0.0110994400, 0.7458771000)
(-0.6660325000, -0.0024371700, 0.0112721500, 0.7458336000)
(-0.6660889000, -0.0026133930, 0.0110169300, 0.7457865000)
(-0.6659465000, -0.0025198460, 0.0111549400, 0.7459119000)
(-0.6658143000, -0.0025567170, 0.0111388000, 0.7460300000)
(-0.6657923000, -0.0025851400, 0.0112037400, 0.7460486000)
(-0.6659377000, -0.0025443200, 0.0111484000, 0.7459198000)
(-0.6661242000, -0.0025949080, 0.0110758200, 0.7457541000)
(-0.6659252000, -0.0026138590, 0.0110996600, 0.7459314000)
(-0.6659961000, -0.0025827780, 0.0109963300, 0.7458698000)
(-0.6659756000, -0.0025066040, 0.0109835500, 0.7458885000)
(-0.6659940000, -0.0025726470, 0.0111021400, 0.7458700000)
(-0.6661069000, -0.0025775690, 0.0112028100, 0.7457677000)
(-0.6659651000, -0.0026427800, 0.0111485000, 0.7458949000)
(-0.6660371000, -0.0025999220, 0.0111403800, 0.7458310000)
(-0.6659755000, -0.0025613060, 0.0110678800, 0.7458871000)
(-0.6658935000, -0.0027103580, 0.0109907400, 0.7459610000)
(-0.6660903000, -0.0025955360, 0.0111095800, 0.7457840000)
(-0.6660918000, -0.0026765450, 0.0110866800, 0.7457826000)
(-0.6659497000, -0.0026397600, 0.0111061200, 0.7459093000)
(-0.6659484000, -0.0026182830, 0.0112129800, 0.7459090000)
(-0.6660116000, -0.0025040040, 0.0111546500, 0.7458537000)
(-0.6660224000, -0.0025885530, 0.0111410600, 0.7458441000)
(-0.6659323000, -0.0026030500, 0.0110904800, 0.7459252000)
